('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         367852 function calls (358932 primitive calls) in 6.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      128    0.000    0.000    0.332    0.003 {method 'readline' of '_io.BufferedReader' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.125    0.125 __init__.py:115(__init__)
      132    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      800    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      308    0.000    0.000    0.001    0.000 css_parser.py:239(css_unescape)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
      270    0.000    0.000    0.080    0.000 re.py:250(compile)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:4(<module>)
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.001    0.001 dammit.py:71(_populate_class_variables)
        1    0.000    0.000    0.001    0.001 langbulgarianmodel.py:4(<module>)
      209    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      330    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       69    0.000    0.000    0.001    0.000 css_parser.py:528(parse_tag_pattern)
      273    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       77    0.000    0.000    0.001    0.000 css_types.py:226(__init__)
      800    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.006    0.006 request.py:801(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      130    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      128    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      228    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      260    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
    162/4    0.000    0.000    0.184    0.046 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      456    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fcc8b810b80}
      105    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       88    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
    42/30    0.000    0.000    0.014    0.000 css_parser.py:565(parse_pseudo_class)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      151    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      105    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      909    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
    38/29    0.000    0.000    0.014    0.000 css_parser.py:712(parse_pseudo_open)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.082    0.082 css_parser.py:1(<module>)
      266    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       76    0.000    0.000    0.000    0.000 element.py:1229(_all_strings)
      214    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:376(_freeze_relations)
       72    0.000    0.000    0.003    0.000 _htmlparser.py:104(handle_startendtag)
        1    0.000    0.000    0.002    0.002 dammit.py:408(__init__)
       10    0.000    0.000    0.003    0.000 enum.py:430(_create_)
      131    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      874    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.286    0.286 client.py:444(read)
        2    0.000    0.000    0.000    0.000 socket.py:219(__init__)
       19    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.000    0.000    0.000    0.000 client.py:768(HTTPConnection)
        5    0.000    0.000    0.212    0.042 __init__.py:1(<module>)
      349    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       29    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       22    0.000    0.000    0.000    0.000 util.py:14(lower)
      239    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       36    0.000    0.000    0.000    0.000 element.py:1905(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
      220    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.000    0.000 css_types.py:32(Immutable)
      160    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.006    0.006 socket.py:4(<module>)
      100    0.000    0.000    0.000    0.000 re.py:270(escape)
        1    0.000    0.000    0.057    0.057 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      462    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
