('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         449680 function calls (437022 primitive calls) in 2.363 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       42    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
    42/30    0.000    0.000    0.017    0.001 css_parser.py:565(parse_pseudo_class)
    41/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    41/11    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       41    0.000    0.000    0.000    0.000 enum.py:1015(_power_of_two)
       39    0.000    0.000    0.000    0.000 parse.py:99(_noop)
       39    0.002    0.000    0.002    0.000 parse.py:110(_coerce_args)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       38    0.000    0.000    0.001    0.000 typing.py:1435(_alias)
       38    0.000    0.000    0.000    0.000 element.py:1283(<listcomp>)
       38    0.000    0.000    0.000    0.000 element.py:1266(get_text)
    38/29    0.000    0.000    0.017    0.001 css_parser.py:712(parse_pseudo_open)
       37    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       37    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       37    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
       36    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       36    0.001    0.000    0.011    0.000 response.py:82(decompress)
       36    0.000    0.000    0.000    0.000 response.py:689(_update_chunk_length)
       36    0.002    0.000    0.026    0.001 element.py:738(_find_all)
       36    0.000    0.000    0.027    0.001 element.py:1767(find_all)
       36    0.000    0.000    0.000    0.000 element.py:1905(__init__)
       36    0.000    0.000    0.000    0.000 element.py:2162(__init__)
       35    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       35    0.000    0.000    0.011    0.000 response.py:392(_decode)
       35    0.000    0.000    0.157    0.004 response.py:555(stream)
       35    0.000    0.000    0.145    0.004 response.py:703(_handle_chunk)
       35    0.000    0.000    0.157    0.004 response.py:725(read_chunked)
       35    0.000    0.000    0.157    0.004 models.py:749(generate)
       34    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       34    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       34    0.000    0.000    0.002    0.000 abc.py:84(__new__)
       34    0.000    0.000    0.000    0.000 enum.py:957(_high_bit)
